1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
36 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
36 4 3 4 5 6 4 8 9 10 11 12 13 14 15 4 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
36 36 36 36 5 36 36 8 9 10 11 12 13 14 15 36 17 18 19 36 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
36 36 36 36 5 36 36 8 9 10 11 12 13 14 15 36 17 18 19 36 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
31 31 31 31 31 31 31 31 9 10 11 12 13 14 15 31 17 18 19 31 21 22 23 24 25 26 27 28 29 30 31 32 31 34 35 31 37 38 39 40 
31 31 31 31 31 31 31 31 9 10 11 12 13 14 15 31 31 18 19 31 21 22 23 24 25 26 27 28 29 30 31 32 31 34 35 31 37 38 39 40 
31 31 31 31 31 31 31 31 9 10 11 12 13 14 15 31 31 18 19 31 21 22 23 31 25 26 27 28 29 30 31 32 31 34 35 31 37 38 39 40 
31 31 31 31 31 31 31 31 9 10 11 12 13 14 15 31 31 18 19 31 21 22 23 31 25 26 27 28 29 30 31 32 31 34 35 31 37 38 39 40 
31 31 31 31 31 31 31 31 27 10 11 27 13 14 15 31 31 18 19 31 21 22 23 31 25 26 27 28 29 30 31 32 31 34 35 31 37 38 39 40 
10 10 10 10 10 10 10 10 27 10 11 27 13 14 15 10 10 18 19 10 21 22 23 10 25 26 27 28 29 30 10 32 10 10 35 10 37 38 39 40 
11 11 11 11 11 11 11 11 27 11 11 27 13 14 15 11 11 18 19 11 21 22 23 11 25 26 27 28 29 30 11 32 11 11 35 11 37 38 39 40 
11 11 11 11 11 11 11 11 11 11 11 11 13 14 15 11 11 18 19 11 21 22 23 11 25 26 11 28 29 30 11 32 11 11 35 11 37 38 39 40 
13 13 13 13 13 13 13 13 13 13 13 13 13 14 15 13 13 18 19 13 21 22 23 13 25 26 13 28 29 30 13 32 13 13 35 13 37 38 39 40 
